county_fips,county_name,state,rank,priority,gap_score,need_score,unserved_people,coverage_gap,Population,Median Household Income,Poverty Rate,Median Age
12086,Miami-Dade,Florida,1,0.8409251579835204,1.0,0.469750526611735,765971.6882584,0.28524665,2685296,68694,14.9,40.8
12011,Broward,Florida,2,0.3547221994750839,0.3522025369165711,0.3606014121116137,270236.81899893295,0.138858779,1946127,74534,12.2,41.3
12017,Citrus,Florida,3,0.3084951501359957,0.0797292896050358,0.842282158041569,61723.360193846005,0.388948222,158693,55355,15.5,56.9
12039,Gadsden,Florida,4,0.3045501954824564,0.0065002792606519,1.0,5683.971437552,0.130240856,43642,46047,27.7,42.0
12047,Hamilton,Florida,5,0.2895953939637318,0.0045308953094852,0.9547458908236404,4176.876471624999,0.3106639249999999,13445,47696,27.3,40.6
12107,Putnam,Florida,6,0.2864654746732349,0.0064685179512922,0.9397917070244346,5659.665710159999,0.076239856,74235,47256,23.9,45.0
12043,Glades,Florida,7,0.2859445118149029,0.0,0.9531483727163428,709.5538563359988,0.0575749639999999,12324,38905,21.2,45.8
12079,Madison,Florida,8,0.2606491222591675,0.0060350941095296,0.8547485212749892,5327.982855911999,0.2941524239999999,18113,48176,20.9,44.9
12027,DeSoto,Florida,9,0.2577733244239287,0.0014497113970127,0.8558617548200661,1818.9630942809968,0.0523909989999999,34719,50868,23.1,42.8
12029,Dixie,Florida,10,0.2570026352176028,0.0104056558278058,0.832395587127129,8672.608244976,0.511597938,16952,47655,19.3,45.8
12083,Marion,Florida,11,0.2549962110783385,0.0814728928122133,0.6598839536992973,63057.67370572096,0.1626467929999999,387697,58535,14.6,48.2
12013,Calhoun,Florida,12,0.2491278942708744,0.0021277275446723,0.8254616166320129,2337.8231785979997,0.171987286,13593,46901,21.2,41.8
12055,Highlands,Florida,13,0.2444514776856307,0.0078452457892418,0.7965326854438717,6713.22339392,0.064669615,103808,55581,15.4,54.2
12065,Jefferson,Florida,14,0.2439703253961405,0.0062953374979113,0.7985452971586752,5527.137266769,0.375663513,14713,56984,20.3,47.0
12123,Taylor,Florida,15,0.2426188854161758,0.0151508179038013,0.7733777096117164,12303.901103335998,0.5743581879999999,21422,44985,17.3,43.8
12071,Lee,Florida,16,0.2416662093167979,0.138504405884403,0.482377083992386,106701.731127524,0.134606797,792692,73099,11.7,49.3
12021,Collier,Florida,17,0.2390288845724409,0.1693619843379467,0.4015849851195942,130315.867477362,0.336142002,387681,86173,10.5,53.1
12063,Jackson,Florida,18,0.2385447083951204,0.0073190939699222,0.7780711420539161,6310.579329648,0.132430524,47652,47327,18.8,42.9
12119,Sumter,Florida,19,0.2378791610083283,0.0366382096599452,0.7074413808212223,28747.388381376,0.209017191,137536,73297,9.1,68.4
12075,Levy,Florida,20,0.2361169558321737,0.0166982445339837,0.7480939488612838,13488.088109179998,0.304636555,44276,53805,17.2,47.1
12049,Hardee,Florida,21,0.2264132492960595,0.0008993882670619,0.7526122583637205,1397.821641244,0.054799343,25508,54231,24.3,35.9
12103,Pinellas,Florida,22,0.2241797987697508,0.109408137650856,0.4919803413805054,84435.4587959849,0.0879018689999999,960565,70293,11.4,48.9
12053,Hernando,Florida,23,0.2219480554253216,0.0796839406658659,0.5538976565307181,61688.656367863994,0.306128947,201512,63193,12.0,48.1
12037,Franklin,Florida,24,0.2201526431086463,0.0108232823162479,0.7085878182909093,8992.201982904,0.7241264279999999,12418,62734,17.3,49.2
12077,Liberty,Florida,25,0.2189692200346794,0.0057501390402678,0.7164804090216397,5109.9175313999995,0.6679630759999999,7650,53824,20.8,39.1
12133,Washington,Florida,26,0.2165454913877373,0.0025538684870865,0.7158592781559225,2663.932705746,0.105464694,25259,52723,18.9,41.6
12099,Palm Beach,Florida,27,0.2136601589515851,0.1591365937020787,0.3408818112004333,122490.76321426284,0.0812567709999999,1507453,81115,11.1,45.4
12093,Okeechobee,Florida,28,0.2126578213593487,0.0002733095852618,0.7082216821655516,918.707332905996,0.0228255939999999,40249,52288,19.0,40.7
12051,Hendry,Florida,29,0.2108628363377193,0.005033379664663,0.6911315685748505,4561.408721772,0.111804714,40798,53044,21.6,35.7
12015,Charlotte,Florida,30,0.20935382416788,0.0201562059304124,0.6508149333886375,16134.335028091,0.082704977,195083,66154,9.6,60.0
12023,Columbia,Florida,31,0.2066886212628895,0.023329009446643,0.6345277155007979,18562.36141896,0.262346992,70755,55070,17.0,40.7
12033,Escambia,Florida,32,0.2017323453252301,0.098312882043156,0.4430444263167361,75944.67980789997,0.2349228359999999,323275,65715,14.5,38.1
12059,Holmes,Florida,33,0.1985626748073117,0.0044082971803144,0.6515895559369723,4083.056765622,0.208043247,19626,48236,14.4,42.4
12101,Pasco,Florida,34,0.1970485454283727,0.0976659632612189,0.4289412371517317,75449.61736004995,0.1281504749999999,588758,67384,11.1,43.7
12007,Bradford,Florida,35,0.1948142861656709,0.0015475625927073,0.6457699745025859,1893.8449091519972,0.0679089539999999,27888,59740,19.1,40.5
12127,Volusia,Florida,36,0.1927293784415101,0.0576834085402133,0.507836641544536,44852.48219540594,0.0789338139999999,568229,66581,12.2,46.6
12073,Leon,Florida,37,0.1904169757457536,0.0771989778496671,0.4545923041699554,59787.00841922997,0.2024379379999999,295335,65074,18.5,31.9
12067,Lafayette,Florida,38,0.190042483715626,0.003679434840885,0.6248895977566884,3525.286016065,0.438741259,8035,60692,17.8,41.8
12105,Polk,Florida,39,0.1845248684987687,0.0543448394666132,0.4882782695737983,42297.601700294,0.055584454,760961,63644,14.7,39.6
12121,Suwannee,Florida,40,0.1803723345276533,0.0057256445794532,0.5878812777401202,5091.172848036,0.114449529,44484,55479,14.2,42.5
12061,Indian River,Florida,41,0.1794542734460311,0.0081763660801444,0.5791027239664333,6966.61721448,0.042516705,163856,71049,11.4,55.0
12125,Union,Florida,42,0.1772493444264777,0.0018679888143034,0.5864725075215512,2139.054963409,0.137550959,15551,64922,18.7,40.1
12001,Alachua,Florida,43,0.1683674794322505,0.0114424241548614,0.5345259417461585,9466.007787819,0.033597069,281751,59659,19.7,32.2
12005,Bay,Florida,44,0.1677698375054704,0.0744146342282872,0.3855986451522313,57656.25567662398,0.3178965179999999,181368,70188,11.7,41.4
12115,Sarasota,Florida,45,0.1661362285366566,0.0428679817699176,0.4537621376590476,33514.79708309196,0.0746413719999999,449011,80633,8.2,57.3
12009,Brevard,Florida,46,0.1660706351525996,0.0761041490144451,0.3759924361416268,58949.177367983,0.094997651,620533,75817,9.9,46.8
12087,Monroe,Florida,47,0.1632353638696572,0.0764024454775196,0.3658455067846449,59177.452356,0.72308715,81840,82430,10.4,48.9
12035,Flagler,Florida,48,0.1546487537519819,0.0168392844297892,0.4762041821704316,13596.020600879989,0.1117083279999999,121710,72923,9.4,52.6
12045,Gulf,Florida,49,0.1533301862366742,0.0060857212703812,0.4969006044913577,5366.725905084,0.363303947,14772,67361,11.6,47.3
12069,Lake,Florida,50,0.1526285923474797,0.0410218984254963,0.4130442114987744,32102.059402655963,0.0805176359999999,398696,69956,9.5,46.7
12081,Manatee,Florida,51,0.1487258711041818,0.0287556872690663,0.4286563000527846,22715.19247206,0.054601203,416020,75792,10.4,49.4
12031,Duval,Florida,52,0.1434850906899841,0.0329345458463742,0.4014363619917404,25913.114706295,0.025728155,1007189,68447,14.6,36.7
12085,Martin,Florida,53,0.1419085516029776,0.0007223453398434,0.4713430328836239,1262.337392879984,0.0078667949999999,160464,80701,11.4,53.2
12041,Gilchrist,Florida,54,0.1414163159501591,0.0011858753047451,0.4686206774561249,1617.0593231799985,0.0874369699999999,18494,61070,11.2,42.7
12111,St. Lucie,Florida,55,0.1401047402882699,0.0062494844283465,0.4524336706280913,5492.047648884965,0.0158621049999999,346237,69027,11.6,45.3
12057,Hillsborough,Florida,56,0.1363500780534395,0.0540708797559319,0.3283348740809572,42087.95070735785,0.0282538869999999,1489634,75011,13.2,37.8
