"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"0500000US12051","Hendry County, Florida","13944","349","11572","493","0","31","11572","493","10787","554","1796","392","8452","608","685","354","1816","397","18","19","0","31","469","273","1903","361",
"0500000US12053","Hernando County, Florida","80544","897","73450","1065","102","64","73348","1064","66151","1217","7849","709","62759","1139","6561","703","4406","449","227","91","81","58","1947","475","5147","534",
"0500000US12055","Highlands County, Florida","45943","754","39013","997","111","64","38902","1004","33716","1055","6357","647","29812","1152","4359","613","4198","494","429","157","49","46","1206","293","5724","707",
"0500000US12057","Hillsborough County, Florida","569998","1782","531074","2164","273","115","530801","2171","507795","2007","66657","2570","449221","3390","20866","1256","22409","1238","857","237","395","200","12002","904","26922","1489",
"0500000US12059","Holmes County, Florida","7087","249","5403","282","19","22","5384","281","4784","323","2064","340","2261","280","431","170","1201","213","89","61","0","23","264","145","1420","242",
"0500000US12061","Indian River County, Florida","68696","923","60873","1181","124","76","60749","1160","55250","1252","6023","591","52497","1248","4974","557","4051","469","191","85","4","7","2035","478","5788","685",
"0500000US12063","Jackson County, Florida","17038","341","13737","476","25","28","13712","479","12841","495","4336","483","6571","610","622","150","3219","490","133","72","25","30","300","115","3001","409",
"0500000US12065","Jefferson County, Florida","5675","219","4221","295","31","30","4190","296","3558","310","890","215","2592","272","394","152","1099","248","69","44","0","23","261","132","1193","234",
"0500000US12067","Lafayette County, Florida","2619","231","2240","222","0","21","2240","222","1917","185","459","129","1410","200","126","68","378","200","193","182","0","21","25","22","354","166",
"0500000US12069","Lake County, Florida","159474","1495","145905","1807","295","103","145610","1805","133439","1878","13863","1220","125053","2203","10436","1089","11507","1098","701","202","111","102","3962","584","9607","1018",
"0500000US12071","Lee County, Florida","319588","2788","292012","2968","310","128","291702","2949","275588","3060","36447","1959","246936","2892","13761","1122","18726","1074","940","248","61","45","9235","839","18341","1287",
"0500000US12073","Leon County, Florida","120673","965","109511","1136","59","46","109452","1151","101078","1346","11459","1012","95635","1374","7559","860","4717","590","427","215","54","49","3822","588","7340","697",
"0500000US12075","Levy County, Florida","17976","338","13971","609","79","57","13892","612","12107","617","2444","333","8250","624","1230","299","3212","329","315","118","156","152","332","136","3673","569",
"0500000US12077","Liberty County, Florida","2554","177","2031","183","6","9","2025","184","1836","198","355","118","1412","177","170","66","285","88","0","21","0","21","105","64","418","134",
"0500000US12079","Madison County, Florida","6980","203","5097","338","2","4","5095","338","4173","356","1071","254","3292","349","796","218","945","219","37","30","0","23","327","124","1556","264",
"0500000US12081","Manatee County, Florida","168504","1649","153186","1866","217","114","152969","1880","141396","1920","14152","973","135780","2087","10665","935","6834","732","468","167","38","33","7180","820","8138","901",
"0500000US12083","Marion County, Florida","159796","1469","144732","1800","449","138","144283","1804","131460","1813","16404","1187","116235","1799","10540","869","14177","1103","1284","405","93","65","2943","457","12121","1096",
"0500000US12085","Martin County, Florida","67820","855","61743","1089","51","64","61692","1089","56847","1189","7641","679","52501","1128","4477","526","3425","485","176","112","0","35","2031","386","4046","663",
"0500000US12086","Miami-Dade County, Florida","964805","2795","840025","4455","931","191","839094","4461","781322","4746","116359","3521","701734","4851","52232","2356","74375","2687","1917","405","341","163","33941","1822","90839","2900",
"0500000US12087","Monroe County, Florida","34630","709","30504","868","15","17","30489","867","27386","903","3334","446","26258","982","2992","329","2135","351","64","55","9","15","1480","325","2646","440",
"0500000US12089","Nassau County, Florida","38112","568","36010","659","51","52","35959","665","34056","821","7498","840","26741","762","1512","330","2839","447","110","71","69","62","756","246","1346","267",
"0500000US12091","Okaloosa County, Florida","84123","1106","77557","1261","153","116","77404","1287","71174","1365","7479","709","67800","1368","5717","614","3964","459","217","91","31","44","2090","348","4476","630",
"0500000US12093","Okeechobee County, Florida","15187","408","12671","544","65","55","12606","538","11464","579","1902","263","9616","585","924","249","1882","386","157","92","0","31","474","196","2042","365",
"0500000US12095","Orange County, Florida","508907","2485","473456","3425","265","191","473191","3434","453071","3681","49603","2712","408561","4025","18414","1413","26388","1672","460","141","268","140","9709","1049","25742","1832",
"0500000US12097","Osceola County, Florida","131365","1486","120699","1644","163","92","120536","1650","113380","1807","12797","1470","101299","1851","6391","863","7062","754","310","158","156","118","3450","557","7216","883",
"0500000US12099","Palm Beach County, Florida","597053","2488","538865","3090","730","265","538135","3034","501296","3496","62740","2158","461993","3403","32597","1561","33961","1741","1827","473","226","111","20470","1233","37718","1634",
"0500000US12101","Pasco County, Florida","229860","1612","206672","2329","260","116","206412","2313","183212","2586","19488","1183","181316","2450","21700","1666","10449","800","820","221","136","94","7319","769","15869","1201",
"0500000US12103","Pinellas County, Florida","423242","2243","378886","2952","498","138","378388","2963","347694","3063","44189","1914","326905","3376","28096","1391","14662","876","1090","298","249","140","13566","1055","30790","1669",
"0500000US12105","Polk County, Florida","276643","2021","244843","2398","821","285","244022","2396","228167","2506","31142","1317","205146","2623","13870","882","12179","860","1080","307","167","101","7630","818","24170","1384",
"0500000US12107","Putnam County, Florida","30650","595","25819","696","46","47","25773","694","23559","738","5254","569","17563","825","1602","297","3129","430","310","137","161","98","601","234","4230","556",
"0500000US12109","St. Johns County, Florida","108827","1368","102698","1511","182","123","102516","1505","96381","1717","12301","1156","87797","1957","5692","652","6855","775","125","104","45","69","2044","371","4085","570",
"0500000US12111","St. Lucie County, Florida","131640","1179","120306","1546","135","94","120171","1530","114656","1654","11183","1081","105233","1724","4871","609","8857","990","255","146","9","15","2967","541","8367","1070",
"0500000US12113","Santa Rosa County, Florida","71250","811","66273","1039","93","62","66180","1029","61713","1099","6626","707","56156","1151","3652","593","5412","667","495","168","94","97","755","223","4222","798",
"0500000US12115","Sarasota County, Florida","205503","1515","188845","1936","324","124","188521","1916","174826","2127","20076","1183","164272","1932","12448","963","7958","694","532","166","32","32","6329","824","10329","947",
"0500000US12117","Seminole County, Florida","185396","902","174178","1517","102","89","174076","1529","166321","1474","12169","1048","158341","1856","7130","697","8576","855","233","114","135","79","3912","655","7306","1026",
"0500000US12119","Sumter County, Florida","66941","1030","60844","1417","190","132","60654","1400","55995","1434","6770","866","51109","1430","3914","630","5233","821","246","110","86","89","1395","340","4702","998",
"0500000US12121","Suwannee County, Florida","15567","456","13274","596","23","36","13251","597","11957","608","2246","411","9905","611","864","245","1790","366","205","122","14","23","235","92","2058","490",
"0500000US12123","Taylor County, Florida","7571","329","6153","461","0","28","6153","461","5226","464","1080","295","4524","405","649","203","826","252","182","111","0","28","230","150","1188","282",
"0500000US12125","Union County, Florida","4192","160","3761","202","0","23","3761","202","3404","222","716","167","2767","247","270","126","419","120","42","33","0","23","119","82","312","113",
"0500000US12127","Volusia County, Florida","237396","1407","213411","1944","281","111","213130","1935","194248","2294","34247","1755","161200","2626","15849","1091","13920","1153","1034","213","1346","450","5409","663","18576","1313",
"0500000US12129","Wakulla County, Florida","12187","392","10928","451","21","27","10907","452","9740","508","1508","335","8937","455","951","284","812","204","85","83","0","31","234","123","1025","242",
"0500000US12131","Walton County, Florida","32659","1018","29564","1047","47","42","29517","1049","27370","1074","3759","634","23671","955","1895","371","3215","522","149","92","7","13","1053","324","2042","393",
"0500000US12133","Washington County, Florida","9282","289","7806","339","9","18","7797","338","7228","368","2398","346","3122","364","217","96","2447","315","294","106","0","28","171","113","1305","206",
