rank,NAME,priority,gap_score,need_score,unserved_people,coverage_gap,Population,Median Household Income,Poverty Rate,Median Age
36,"Volusia County, Florida",0.19272937844151014,0.05768340854021338,0.507836641544536,44852.48219540594,0.0789338139999999,568229,66581,12.2,46.6
37,"Leon County, Florida",0.19041697574575364,0.07719897784966719,0.45459230416995544,59787.00841922997,0.2024379379999999,295335,65074,18.5,31.9
38,"Lafayette County, Florida",0.19004248371562604,0.003679434840885036,0.6248895977566884,3525.286016065,0.438741259,8035,60692,17.8,41.8
39,"Polk County, Florida",0.18452486849876876,0.054344839466613275,0.4882782695737983,42297.601700294,0.055584454,760961,63644,14.7,39.6
40,"Suwannee County, Florida",0.18037233452765333,0.0057256445794532495,0.5878812777401202,5091.172848036,0.114449529,44484,55479,14.2,42.5
41,"Indian River County, Florida",0.1794542734460311,0.00817636608014448,0.5791027239664333,6966.61721448,0.042516705,163856,71049,11.4,55.0
42,"Union County, Florida",0.17724934442647775,0.0018679888143034009,0.5864725075215512,2139.054963409,0.137550959,15551,64922,18.7,40.1
43,"Alachua County, Florida",0.16836747943225056,0.011442424154861444,0.5345259417461585,9466.007787819,0.033597069,281751,59659,19.7,32.2
44,"Bay County, Florida",0.16776983750547048,0.07441463422828724,0.38559864515223136,57656.25567662398,0.3178965179999999,181368,70188,11.7,41.4
45,"Sarasota County, Florida",0.16613622853665663,0.042867981769917664,0.4537621376590476,33514.79708309196,0.0746413719999999,449011,80633,8.2,57.3
46,"Brevard County, Florida",0.16607063515259962,0.07610414901444512,0.3759924361416268,58949.177367983,0.094997651,620533,75817,9.9,46.8
47,"Monroe County, Florida",0.1632353638696572,0.07640244547751965,0.3658455067846449,59177.452356,0.72308715,81840,82430,10.4,48.9
48,"Flagler County, Florida",0.15464875375198198,0.016839284429789284,0.47620418217043164,13596.020600879987,0.1117083279999999,121710,72923,9.4,52.6
49,"Gulf County, Florida",0.15333018623667422,0.006085721270381258,0.49690060449135776,5366.725905084,0.363303947,14772,67361,11.6,47.3
50,"Lake County, Florida",0.15262859234747972,0.0410218984254963,0.4130442114987744,32102.059402655963,0.0805176359999999,398696,69956,9.5,46.7
51,"Manatee County, Florida",0.14872587110418184,0.02875568726906639,0.4286563000527846,22715.19247206,0.054601203,416020,75792,10.4,49.4
52,"Duval County, Florida",0.1434850906899841,0.03293454584637427,0.40143636199174043,25913.114706295,0.025728155,1007189,68447,14.6,36.7
53,"Martin County, Florida",0.1419085516029776,0.0007223453398434532,0.47134303288362395,1262.337392879984,0.0078667949999999,160464,80701,11.4,53.2
54,"Gilchrist County, Florida",0.1414163159501591,0.0011858753047451866,0.46862067745612496,1617.0593231799983,0.0874369699999999,18494,61070,11.2,42.7
55,"St. Lucie County, Florida",0.14010474028826997,0.006249484428346581,0.4524336706280913,5492.047648884965,0.0158621049999999,346237,69027,11.6,45.3
56,"Hillsborough County, Florida",0.13635007805343952,0.05407087975593197,0.3283348740809572,42087.95070735785,0.0282538869999999,1489634,75011,13.2,37.8
57,"Osceola County, Florida",0.12729774813003308,0.03154149157961639,0.35072901341433876,24847.06302477796,0.0610578459999999,406943,68711,12.5,37.0
58,"Baker County, Florida",0.12369729781119058,0.02023285553397197,0.3651143297913674,16192.992067311998,0.5745047919999999,28186,70833,13.1,38.1
59,"Walton County, Florida",0.11749068138917895,0.022469065538820974,0.33920778504001425,17904.278908594,0.224235139,79846,79281,11.4,43.8
60,"Orange County, Florida",0.11634759171280437,0.0439727692001629,0.28522217757563445,34360.249070022,0.023853482,1440471,77011,13.0,36.4
61,"Okaloosa County, Florida",0.09834383234774735,0.05987672508606538,0.18810041595833862,46530.944296704,0.217149184,214281,79097,9.3,37.3
62,"Nassau County, Florida",0.08859474883969887,0.02288047251177409,0.24192806027152336,18219.113086823992,0.1924832079999999,94653,88900,9.2,46.3
63,"Wakulla County, Florida",0.08078506791287794,0.023271520914222264,0.21498334424307455,18518.367621936,0.535089217,34608,74183,5.6,42.5
64,"Santa Rosa County, Florida",0.07664997468832344,0.05607198320579842,0.12466528814754849,43619.31940456198,0.2251679979999999,193719,88968,8.4,40.0
65,"Clay County, Florida",0.07334189395221369,0.03221267296988776,0.16931007624430755,25360.692728067977,0.1135031629999999,223436,86094,9.1,40.2
66,"Seminole County, Florida",0.06446593198430499,0.010163014362482256,0.19117273976855803,8486.923919328001,0.017870519,474912,83030,9.2,39.8
67,"St. Johns County, Florida",0.0035949021015291727,0.005135574430755962,0.0,4639.61450659697,0.0158758789999999,292243,106169,6.7,44.0
