GEO_ID,covered_share,covered_share_4g,coverage_gap
0500000US12001,0.966402931,0.999961024,0.033597069000000035
0500000US12003,0.425495208,0.624472843,0.5745047919999999
0500000US12005,0.682103482,0.918567842,0.31789651799999996
0500000US12007,0.932091046,0.99949975,0.06790895399999997
0500000US12009,0.905002349,0.989783936,0.09499765100000002
0500000US12011,0.861141221,0.94519025,0.138858779
0500000US12013,0.828012714,0.986318408,0.17198728600000002
0500000US12015,0.917295023,0.962457338,0.08270497700000001
0500000US12017,0.611051778,0.930066058,0.388948222
0500000US12019,0.886496837,0.993907039,0.11350316299999996
0500000US12021,0.663857998,0.882720274,0.336142002
0500000US12023,0.737653008,0.89517463,0.262346992
0500000US12027,0.947609001,1.0,0.052390998999999994
0500000US12029,0.488402062,0.927319588,0.511597938
0500000US12031,0.974271845,0.999757282,0.02572815500000003
0500000US12033,0.765077164,0.994892189,0.23492283599999997
0500000US12035,0.888291672,0.999093382,0.11170832799999997
0500000US12037,0.275873572,0.755650071,0.7241264279999999
0500000US12039,0.869759144,0.999925662,0.13024085600000002
0500000US12041,0.91256303,1.0,0.08743696999999995
0500000US12043,0.942425036,0.999251301,0.05757496399999995
0500000US12045,0.636696053,0.951813264,0.363303947
0500000US12047,0.689336075,0.937573443,0.31066392499999995
0500000US12049,0.945200657,1.0,0.054799343
0500000US12051,0.888195286,0.988415789,0.11180471400000003
0500000US12053,0.693871053,0.928734412,0.30612894700000004
0500000US12055,0.935330385,0.998492159,0.06466961500000001
0500000US12057,0.971746113,0.996247975,0.028253886999999978
0500000US12059,0.791956753,0.998853305,0.208043247
0500000US12061,0.957483295,0.994027556,0.042516705000000043
0500000US12063,0.867569476,0.982926931,0.132430524
0500000US12065,0.624336487,0.948822986,0.375663513
0500000US12067,0.561258741,0.930629371,0.43874125900000005
0500000US12069,0.919482364,0.995998322,0.08051763599999995
0500000US12071,0.865393203,0.974448028,0.134606797
0500000US12073,0.797562062,0.981019704,0.20243793799999998
0500000US12075,0.695363445,0.991513234,0.304636555
0500000US12077,0.332036924,0.637130406,0.6679630759999999
0500000US12079,0.705847576,0.98317747,0.29415242399999997
0500000US12081,0.945398797,0.982192696,0.05460120300000004
0500000US12083,0.837353207,0.993428184,0.16264679299999996
0500000US12085,0.992133205,0.999951737,0.007866794999999982
0500000US12086,0.71475335,0.930968331,0.28524665000000005
0500000US12087,0.27691285,0.464101039,0.72308715
0500000US12089,0.807516792,0.98620725,0.19248320799999996
0500000US12091,0.782850816,0.939785717,0.21714918400000005
0500000US12093,0.977174406,0.997198303,0.02282559399999995
0500000US12095,0.976146518,0.9998523,0.023853482000000037
0500000US12097,0.938942154,0.995537137,0.06105784599999997
0500000US12099,0.918743229,0.989699846,0.08125677099999995
0500000US12101,0.871849525,0.990614015,0.12815047499999999
0500000US12103,0.912098131,0.968736162,0.08790186899999997
0500000US12105,0.944415546,0.998216542,0.055584454000000005
0500000US12107,0.923760144,0.99220018,0.07623985600000005
0500000US12109,0.984124121,1.0,0.01587587899999998
0500000US12111,0.984137895,0.999788505,0.01586210499999996
0500000US12113,0.774832002,0.910634883,0.22516799799999998
0500000US12115,0.925358628,0.963573456,0.07464137199999998
0500000US12117,0.982129481,0.999785982,0.01787051900000003
0500000US12119,0.790982809,0.897697048,0.20901719100000005
0500000US12121,0.885550471,0.999448702,0.11444952900000005
0500000US12123,0.425641812,0.891249872,0.5743581879999999
0500000US12125,0.862449041,0.991695606,0.13755095900000003
0500000US12127,0.921066186,0.994617564,0.07893381399999999
0500000US12129,0.464910783,0.861436011,0.535089217
0500000US12131,0.775764861,0.958100798,0.22423513900000003
0500000US12133,0.894535306,0.999935099,0.10546469400000003
